TIME,MAX,MIN,OTHER
20140801 003420437,1.100061603,1.099698683,0
20140801 003421687,1.100073705,1.099710776,0
20140801 003422187,1.100061603,1.099698683,0
20140801 003422437,1.100073705,1.099710776,0
20140801 003430937,1.100061603,1.099698683,0
20140801 003432187,1.100073705,1.099710776,0
20140801 003432437,1.100085807,1.09972287,0
20140801 003433437,1.100097909,1.099734964,0
20140801 003448203,1.100085807,1.09972287,0
20140801 003450953,1.100097909,1.099734964,0
20140801 003513703,1.100110011,1.099747058,0
20140801 003515453,1.100097909,1.099734964,0
20140801 003529203,1.100085807,1.09972287,0
20140801 003532187,1.100097909,1.099734964,0
20140801 003534187,1.100110011,1.099747058,0
20140801 003608937,1.100097909,1.099734964,0
20140801 003615453,1.100110011,1.099747058,0
20140801 003632203,1.100097909,1.099734964,0
20140801 003634450,1.100110011,1.099747058,0
20140801 003646217,1.100097909,1.099734964,0
20140801 003733217,1.100122114,1.099759153,0
20140801 003802717,1.100134216,1.099771248,0
20140801 003807717,1.100122114,1.099759153,0
20140801 003822217,1.100110011,1.099747058,0
20140801 003833217,1.100122114,1.099759153,0
20140801 003833467,1.100134216,1.099771248,0
20140801 003851967,1.100122114,1.099759153,0
20140801 003852467,1.100134216,1.099771248,0
20140801 003857467,1.100146319,1.099783343,0
20140801 003859467,1.100134216,1.099771248,0
20140801 003913217,1.100122114,1.099759153,0
20140801 003933700,1.100134216,1.099771248,0
20140801 003954700,1.100146319,1.099783343,0
20140801 004000700,1.100134216,1.099771248,0
20140801 004000967,1.100146319,1.099783343,0
20140801 004025450,1.100158423,1.099795438,0
20140801 004025700,1.100194734,1.099831726,0
20140801 004032967,1.10018263,1.09981963,0
20140801 004033230,1.100158423,1.099795438,0
20140801 004035217,1.100146319,1.099783343,0
20140801 004048217,1.100158423,1.099795438,0
20140801 004103717,1.100146319,1.099783343,0
20140801 004112467,1.100134216,1.099771248,0
20140801 004112717,1.100146319,1.099783343,0
20140801 004119717,1.100134216,1.099771248,0
20140801 004122217,1.100146319,1.099783343,0
20140801 004122467,1.100134216,1.099771248,0
20140801 004124467,1.100146319,1.099783343,0
20140801 004128467,1.100134216,1.099771248,0
20140801 004129217,1.100146319,1.099783343,0
20140801 004130467,1.100134216,1.099771248,0
20140801 004130967,1.100146319,1.099783343,0
20140801 004131967,1.100134216,1.099771248,0
20140801 004132217,1.100146319,1.099783343,0
20140801 004138717,1.100158423,1.099795438,0
20140801 004138967,1.100146319,1.099783343,0
20140801 004139217,1.100158423,1.099795438,0
20140801 004141467,1.100146319,1.099783343,0
20140801 004141967,1.100158423,1.099795438,0
20140801 004154967,1.100170526,1.099807534,0
20140801 004156967,1.100158423,1.099795438,0
20140801 004202967,1.100146319,1.099783343,0
20140801 004219967,1.100134216,1.099771248,0
20140801 004228967,1.100146319,1.099783343,0
20140801 004233717,1.100158423,1.099795438,0
20140801 004234217,1.100146319,1.099783343,0
20140801 004337963,1.100158423,1.099795438,0
20140801 004354213,1.100170526,1.099807534,0
20140801 004354463,1.10018263,1.09981963,0
20140801 004419730,1.100170526,1.099807534,0
20140801 004422713,1.10018263,1.09981963,0
20140801 004422963,1.100170526,1.099807534,0
20140801 004423057,1.10018263,1.09981963,0
20140801 004458713,1.100194734,1.099831726,0
20140801 004532213,1.10018263,1.09981963,0
20140801 004539963,1.100194734,1.099831726,0
20140801 004546963,1.10018263,1.09981963,0
20140801 004708213,1.100194734,1.099831726,0
20140801 004721463,1.10018263,1.09981963,0
20140801 004723713,1.100170526,1.099807534,0
20140801 004738213,1.10018263,1.09981963,0
20140801 004826713,1.100194734,1.099831726,0
20140801 004836447,1.100206839,1.099843822,0
20140801 004853447,1.100194734,1.099831726,0
20140801 004900963,1.10018263,1.09981963,0
20140801 004921963,1.100194734,1.099831726,0
20140801 004927463,1.100206839,1.099843822,0
20140801 005138710,1.100218944,1.099855919,0
20140801 005202447,1.100206839,1.099843822,0
20140801 005228960,1.100218944,1.099855919,0
20140801 005300460,1.100206839,1.099843822,0
20140801 005300710,1.100194734,1.099831726,0
20140801 005353960,1.100206839,1.099843822,0
20140801 005356197,1.100194734,1.099831726,0
20140801 005422697,1.10018263,1.09981963,0
20140801 005458693,1.100194734,1.099831726,0
20140801 005601960,1.100206839,1.099843822,0
20140801 005608710,1.100194734,1.099831726,0
20140801 005705710,1.100218944,1.099855919,0
20140801 005715693,1.100206839,1.099843822,0
20140801 005806960,1.100194734,1.099831726,0
20140801 005821693,1.10018263,1.09981963,0
20140801 005846210,1.100170526,1.099807534,0
20140801 005907693,1.10018263,1.09981963,0
20140801 005912957,1.100194734,1.099831726,0
20140801 010013957,1.100206839,1.099843822,0
20140801 010120707,1.100194734,1.099831726,0
20140801 010157707,1.100206839,1.099843822,0
20140801 010157957,1.100194734,1.099831726,0
20140801 010221957,1.100206839,1.099843822,0
20140801 010228957,1.100218944,1.099855919,0
20140801 010230957,1.100206839,1.099843822,0
20140801 010326957,1.100231049,1.099868016,0
20140801 010327207,1.100243154,1.099880113,0
20140801 010328207,1.100231049,1.099868016,0
20140801 010401957,1.100218944,1.099855919,0
20140801 010411223,1.100231049,1.099868016,0
20140801 010457973,1.100243154,1.099880113,0
20140801 010523223,1.100231049,1.099868016,0
20140801 010533723,1.100243154,1.099880113,0
20140801 010549973,1.100231049,1.099868016,0
20140801 010551223,1.100218944,1.099855919,0
20140801 010644220,1.100231049,1.099868016,0
20140801 010646220,1.100218944,1.099855919,0
20140801 010646720,1.100231049,1.099868016,0
20140801 010656720,1.100243154,1.099880113,0
20140801 010657220,1.100231049,1.099868016,0
20140801 010657457,1.100243154,1.099880113,0
20140801 010657720,1.100231049,1.099868016,0
20140801 010700470,1.100243154,1.099880113,0
20140801 010700970,1.100231049,1.099868016,0
20140801 010701970,1.100243154,1.099880113,0
20140801 010705220,1.100231049,1.099868016,0
20140801 010705720,1.100243154,1.099880113,0
20140801 010712970,1.100231049,1.099868016,0
20140801 010719970,1.100243154,1.099880113,0
20140801 010753470,1.100255259,1.099892211,0
20140801 010753970,1.100243154,1.099880113,0
20140801 010754470,1.100255259,1.099892211,0
20140801 010754720,1.100243154,1.099880113,0
20140801 010817220,1.100255259,1.099892211,0
20140801 010818720,1.100243154,1.099880113,0
20140801 010848720,1.100255259,1.099892211,0
20140801 010849720,1.100267365,1.099904308,0
20140801 010859970,1.100279471,1.099916406,0
20140801 010900970,1.100291577,1.099928505,0
20140801 010902720,1.100279471,1.099916406,0
20140801 010902970,1.100267365,1.099904308,0
20140801 010903220,1.100279471,1.099916406,0
20140801 010903470,1.100267365,1.099904308,0
20140801 010915470,1.100255259,1.099892211,0
20140801 010917720,1.100243154,1.099880113,0
20140801 010917970,1.100255259,1.099892211,0
20140801 010918220,1.100243154,1.099880113,0
20140801 010944720,1.100255259,1.099892211,0
20140801 011011970,1.100243154,1.099880113,0
20140801 011012220,1.100255259,1.099892211,0
20140801 011012970,1.100243154,1.099880113,0
20140801 011013470,1.100255259,1.099892211,0
20140801 011029703,1.100243154,1.099880113,0
20140801 011044970,1.100279471,1.099916406,0
20140801 011045203,1.100303684,1.099940603,0
20140801 011053970,1.100255259,1.099892211,0
20140801 011054203,1.100267365,1.099904308,0
20140801 011104203,1.100255259,1.099892211,0
20140801 011104970,1.100267365,1.099904308,0
20140801 011111203,1.100255259,1.099892211,0
20140801 011112203,1.100267365,1.099904308,0
20140801 011112703,1.100255259,1.099892211,0
20140801 011129203,1.100267365,1.099904308,0
20140801 011129453,1.100255259,1.099892211,0
20140801 011130453,1.100267365,1.099904308,0
20140801 011135453,1.100291577,1.099928505,0
20140801 011135720,1.100315791,1.099952702,0
20140801 011135987,1.100340005,1.0999769,0
20140801 011136203,1.100364221,1.1000011,0
20140801 011136453,1.100352113,1.099989,0
20140801 011144970,1.100376329,1.1000132,0
20140801 011145703,1.100364221,1.1000011,0
20140801 011147203,1.100376329,1.1000132,0
20140801 011154203,1.100388437,1.100025301,0
20140801 011200203,1.100376329,1.1000132,0
20140801 011309000,1.100364221,1.1000011,0
20140801 011318000,1.100352113,1.099989,0
20140801 011318250,1.100364221,1.1000011,0
20140801 011352517,1.100340005,1.0999769,0
20140801 011406530,1.100303684,1.099940603,0
20140801 011406767,1.100315791,1.099952702,0
20140801 011410017,1.100327898,1.099964801,0
20140801 011435030,1.100315791,1.099952702,0
20140801 011435267,1.100303684,1.099940603,0
20140801 011435517,1.100315791,1.099952702,0
20140801 011436517,1.100303684,1.099940603,0
20140801 011449267,1.100315791,1.099952702,0
20140801 011449517,1.100303684,1.099940603,0
20140801 011449767,1.100315791,1.099952702,0
20140801 011517780,1.100267365,1.099904308,0
20140801 011518013,1.100255259,1.099892211,0
20140801 011518263,1.100243154,1.099880113,0
20140801 011519513,1.100255259,1.099892211,0
20140801 011520513,1.100243154,1.099880113,0
20140801 011524763,1.100267365,1.099904308,0
20140801 011525013,1.100243154,1.099880113,0
20140801 011527013,1.100279471,1.099916406,0
20140801 011527263,1.100243154,1.099880113,0
20140801 011543513,1.100231049,1.099868016,0
20140801 011550263,1.100243154,1.099880113,0
20140801 011554263,1.100279471,1.099916406,0
20140801 011554513,1.100255259,1.099892211,0
20140801 011554763,1.100243154,1.099880113,0
20140801 011607513,1.100231049,1.099868016,0
20140801 011608763,1.100243154,1.099880113,0
20140801 011631513,1.100231049,1.099868016,0
20140801 011657013,1.100218944,1.099855919,0
20140801 011658263,1.100231049,1.099868016,0
20140801 011715763,1.100255259,1.099892211,0
20140801 011716013,1.100243154,1.099880113,0
20140801 011716513,1.100231049,1.099868016,0
20140801 011728763,1.100243154,1.099880113,0
20140801 011744513,1.100231049,1.099868016,0
20140801 011748263,1.100243154,1.099880113,0
20140801 011748513,1.100231049,1.099868016,0
20140801 011757263,1.100243154,1.099880113,0
20140801 011812763,1.100231049,1.099868016,0
20140801 011813013,1.100243154,1.099880113,0
20140801 011813263,1.100231049,1.099868016,0
20140801 011813763,1.100243154,1.099880113,0
20140801 011814263,1.100231049,1.099868016,0
20140801 011823763,1.100243154,1.099880113,0
20140801 011824013,1.100231049,1.099868016,0
20140801 011824763,1.100243154,1.099880113,0
20140801 011825013,1.100231049,1.099868016,0
20140801 011856013,1.100218944,1.099855919,0
20140801 011856263,1.100231049,1.099868016,0
20140801 011856513,1.100218944,1.099855919,0
20140801 011902763,1.100206839,1.099843822,0
20140801 011935513,1.100231049,1.099868016,0
20140801 011951263,1.100218944,1.099855919,0
20140801 011953263,1.100206839,1.099843822,0
20140801 011954013,1.100218944,1.099855919,0
20140801 012005263,1.100206839,1.099843822,0
20140801 012017013,1.100194734,1.099831726,0
20140801 012022013,1.100206839,1.099843822,0
20140801 012027247,1.100194734,1.099831726,0
20140801 012027497,1.100206839,1.099843822,0
20140801 012029263,1.100194734,1.099831726,0
20140801 012029497,1.100206839,1.099843822,0
20140801 012030247,1.100194734,1.099831726,0
20140801 012030997,1.100206839,1.099843822,0
20140801 012039013,1.100194734,1.099831726,0
20140801 012039263,1.100206839,1.099843822,0
20140801 012040013,1.100194734,1.099831726,0
20140801 012040263,1.100206839,1.099843822,0
20140801 012051013,1.100194734,1.099831726,0
20140801 012056013,1.100206839,1.099843822,0
20140801 012101013,1.100194734,1.099831726,0
20140801 012101763,1.100206839,1.099843822,0
20140801 012202263,1.100194734,1.099831726,0
20140801 012220013,1.100206839,1.099843822,0
20140801 012222513,1.100218944,1.099855919,0
20140801 012223763,1.100206839,1.099843822,0
20140801 012224277,1.100218944,1.099855919,0
20140801 012224513,1.100231049,1.099868016,0
20140801 012253263,1.100243154,1.099880113,0
20140801 012302760,1.100255259,1.099892211,0
20140801 012322760,1.100267365,1.099904308,0
20140801 012348510,1.100255259,1.099892211,0
20140801 012352010,1.100267365,1.099904308,0
20140801 012352260,1.100279471,1.099916406,0
20140801 012401510,1.100267365,1.099904308,0
20140801 012402760,1.100255259,1.099892211,0
20140801 012403260,1.100267365,1.099904308,0
20140801 012404260,1.100255259,1.099892211,0
20140801 012405260,1.100267365,1.099904308,0
20140801 012406510,1.100255259,1.099892211,0
20140801 012408760,1.100243154,1.099880113,0
20140801 012409760,1.100231049,1.099868016,0
20140801 012411510,1.100243154,1.099880113,0
20140801 012416260,1.100255259,1.099892211,0
20140801 012419760,1.100243154,1.099880113,0
20140801 012421010,1.100255259,1.099892211,0
20140801 012512260,1.100243154,1.099880113,0
20140801 012512510,1.100255259,1.099892211,0
20140801 012532510,1.100243154,1.099880113,0
20140801 012553010,1.100255259,1.099892211,0
20140801 012616260,1.100243154,1.099880113,0
20140801 012617010,1.100255259,1.099892211,0
20140801 012618010,1.100243154,1.099880113,0
20140801 012619260,1.100255259,1.099892211,0
20140801 012621010,1.100243154,1.099880113,0
20140801 012621510,1.100255259,1.099892211,0
20140801 012622510,1.100267365,1.099904308,0
20140801 012622760,1.100243154,1.099880113,0
20140801 012623760,1.100255259,1.099892211,0
20140801 012624010,1.100279471,1.099916406,0
20140801 012639510,1.100267365,1.099904308,0
20140801 012646510,1.100255259,1.099892211,0
20140801 012646760,1.100267365,1.099904308,0
20140801 012657260,1.100255259,1.099892211,0
20140801 012705260,1.100267365,1.099904308,0
20140801 012710760,1.100255259,1.099892211,0
20140801 012716760,1.100267365,1.099904308,0
20140801 012720260,1.100279471,1.099916406,0
20140801 012743760,1.100267365,1.099904308,0
20140801 012752510,1.100279471,1.099916406,0
20140801 012820760,1.100291577,1.099928505,0
20140801 012841760,1.100279471,1.099916406,0
20140801 012904010,1.100267365,1.099904308,0
20140801 012905010,1.100255259,1.099892211,0
20140801 012919260,1.100243154,1.099880113,0
20140801 012921510,1.100255259,1.099892211,0
20140801 012934010,1.100243154,1.099880113,0
20140801 012948027,1.100218944,1.099855919,0
20140801 012948260,1.100206839,1.099843822,0
20140801 012949260,1.100194734,1.099831726,0
20140801 012952510,1.100206839,1.099843822,0
20140801 012952760,1.100218944,1.099855919,0
20140801 012953760,1.100206839,1.099843822,0
20140801 013005760,1.100194734,1.099831726,0
20140801 013010260,1.100206839,1.099843822,0
20140801 013011260,1.100194734,1.099831726,0
20140801 013012260,1.100206839,1.099843822,0
20140801 013023760,1.100194734,1.099831726,0
20140801 013024010,1.100206839,1.099843822,0
