TIME,MAX,MIN,OTHER
20140801 001814443,0.009717323,0.009715435,0
20140801 001823693,0.009717417,0.009715529,0
20140801 001833193,0.009717512,0.009715624,0
20140801 001833443,0.009717701,0.009715812,0
20140801 001834207,0.009717795,0.009715907,0
20140801 001834693,0.009717606,0.009715718,0
20140801 001834943,0.009717417,0.009715529,0
20140801 001843083,0.009717229,0.009715341,0
20140801 001843193,0.009717323,0.009715435,0
20140801 001845193,0.009717134,0.009715246,0
20140801 001845693,0.00971704,0.009715152,0
20140801 001846193,0.009716945,0.009715057,0
20140801 001922943,0.009717134,0.009715246,0
20140801 001923193,0.009717323,0.009715435,0
20140801 001930693,0.009717229,0.009715341,0
20140801 001933693,0.009717417,0.009715529,0
20140801 001933943,0.009717512,0.009715624,0
20140801 001941443,0.009717701,0.009715812,0
20140801 001941693,0.009717795,0.009715907,0
20140801 001942193,0.009717701,0.009715812,0
20140801 001942693,0.009717795,0.009715907,0
20140801 001942943,0.009717701,0.009715812,0
20140801 001945443,0.009717606,0.009715718,0
20140801 001945693,0.009717701,0.009715812,0
20140801 001947207,0.009717606,0.009715718,0
20140801 001947443,0.009717512,0.009715624,0
20140801 001950693,0.009717701,0.009715812,0
20140801 001950943,0.009717795,0.009715907,0
20140801 001951193,0.009717701,0.009715812,0
20140801 001952443,0.009717606,0.009715718,0
20140801 001953193,0.009717512,0.009715624,0
20140801 002012443,0.009717606,0.009715718,0
20140801 002012693,0.009717512,0.009715624,0
20140801 002012943,0.009717795,0.009715907,0
20140801 002013193,0.009717701,0.009715812,0
20140801 002013443,0.009717606,0.009715718,0
20140801 002016443,0.009717701,0.009715812,0
20140801 002017443,0.009717606,0.009715718,0
20140801 002024443,0.009717701,0.009715812,0
20140801 002028693,0.009717606,0.009715718,0
20140801 002028943,0.009717701,0.009715812,0
20140801 002029193,0.009717795,0.009715907,0
20140801 002029943,0.00971789,0.009716001,0
20140801 002030193,0.009717795,0.009715907,0
20140801 002030443,0.00971789,0.009716001,0
20140801 002030943,0.009717984,0.009716096,0
20140801 002035427,0.00971789,0.009716001,0
20140801 002039177,0.009717984,0.009716096,0
20140801 002045427,0.00971789,0.009716001,0
20140801 002045927,0.009717984,0.009716096,0
20140801 002046177,0.00971789,0.009716001,0
20140801 002110927,0.009717795,0.009715907,0
20140801 002111177,0.009717701,0.009715812,0
20140801 002111427,0.009717606,0.009715718,0
20140801 002112677,0.009717701,0.009715812,0
20140801 002112927,0.009717606,0.009715718,0
20140801 002113177,0.009717701,0.009715812,0
20140801 002113427,0.009717606,0.009715718,0
20140801 002113927,0.009717701,0.009715812,0
20140801 002114677,0.009717606,0.009715718,0
20140801 002121177,0.009717701,0.009715812,0
20140801 002123927,0.009717606,0.009715718,0
