TIME,MAX,MIN,OTHER
20140801 004735213,0.915985784,0.915734144,0
20140801 004736213,0.915927056,0.915675448,0
20140801 004736463,0.915952224,0.915700603,0
20140801 004737963,0.915943834,0.915692218,0
20140801 004738213,0.915927056,0.915675448,0
20140801 004738463,0.915918666,0.915667063,0
20140801 004739213,0.915910277,0.915658679,0
20140801 004816697,0.915918666,0.915667063,0
20140801 004826977,0.915960614,0.915708988,0
20140801 004827197,0.915952224,0.915700603,0
20140801 004827447,0.915960614,0.915708988,0
20140801 004827697,0.915985784,0.915734144,0
20140801 004829197,0.915960614,0.915708988,0
20140801 004831197,0.915952224,0.915700603,0
20140801 004832197,0.915960614,0.915708988,0
20140801 004832447,0.915918666,0.915667063,0
20140801 004835197,0.915952224,0.915700603,0
20140801 004835697,0.915985784,0.915734144,0
20140801 004837197,0.915960614,0.915708988,0
20140801 004843697,0.915977394,0.915725758,0
20140801 004843963,0.915985784,0.915734144,0
20140801 004845197,0.915960614,0.915708988,0
20140801 004907963,0.915977394,0.915725758,0
20140801 004908197,0.915985784,0.915734144,0
20140801 005004963,0.915977394,0.915725758,0
20140801 005055463,0.915960614,0.915708988,0
20140801 005143710,0.915952224,0.915700603,0
20140801 005145447,0.915943834,0.915692218,0
20140801 005145710,0.915918666,0.915667063,0
20140801 005157710,0.915927056,0.915675448,0
20140801 005207710,0.915918666,0.915667063,0
20140801 005214460,0.915910277,0.915658679,0
20140801 005214710,0.915901889,0.915650295,0
20140801 005214960,0.9158935,0.915641911,0
20140801 005236210,0.915885111,0.915633527,0
20140801 005242210,0.9158935,0.915641911,0
20140801 005329960,0.915885111,0.915633527,0
20140801 005330447,0.915868335,0.915616759,0
20140801 005330697,0.915859947,0.915608376,0
20140801 005504693,0.915826396,0.915574844,0
20140801 005504960,0.915834783,0.915583227,0
20140801 005505193,0.915809621,0.915558078,0
20140801 005505443,0.915818009,0.915566461,0
20140801 005506693,0.915792848,0.915541314,0
20140801 005506960,0.915784461,0.915532932,0
20140801 005507193,0.915809621,0.915558078,0
20140801 005507443,0.915818009,0.915566461,0
20140801 005508693,0.915792848,0.915541314,0
20140801 005508960,0.915809621,0.915558078,0
20140801 005509193,0.915801235,0.915549696,0
20140801 005509693,0.915809621,0.915558078,0
20140801 005509960,0.915801235,0.915549696,0
20140801 005510193,0.915809621,0.915558078,0
20140801 005510443,0.915801235,0.915549696,0
20140801 005511193,0.915809621,0.915558078,0
20140801 005511693,0.915818009,0.915566461,0
20140801 005512960,0.915792848,0.915541314,0
20140801 005513193,0.915784461,0.915532932,0
20140801 005538210,0.915792848,0.915541314,0
20140801 005538460,0.915809621,0.915558078,0
20140801 005538710,0.915826396,0.915574844,0
20140801 005539960,0.915801235,0.915549696,0
20140801 005542460,0.915818009,0.915566461,0
20140801 005542710,0.915826396,0.915574844,0
20140801 005543960,0.915801235,0.915549696,0
20140801 005549710,0.915792848,0.915541314,0
20140801 005550460,0.915818009,0.915566461,0
20140801 005551960,0.915792848,0.915541314,0
20140801 005600210,0.915784461,0.915532932,0
20140801 005600443,0.915809621,0.915558078,0
20140801 005600710,0.915818009,0.915566461,0
20140801 005601960,0.915792848,0.915541314,0
20140801 005608460,0.915818009,0.915566461,0
20140801 005609960,0.915792848,0.915541314,0
20140801 005611210,0.915801235,0.915549696,0
20140801 005611460,0.915792848,0.915541314,0
20140801 005611710,0.915784461,0.915532932,0
20140801 005731443,0.915792848,0.915541314,0
20140801 005825210,0.915767688,0.915516168,0
20140801 005827460,0.915776074,0.91552455,0
20140801 005828210,0.915767688,0.915516168,0
20140801 005829460,0.915776074,0.91552455,0
20140801 005830960,0.915784461,0.915532932,0
20140801 005833210,0.915792848,0.915541314,0
20140801 005915707,0.915784461,0.915532932,0
20140801 010005957,0.915776074,0.91552455,0
20140801 010007957,0.915784461,0.915532932,0
20140801 010011443,0.915767688,0.915516168,0
20140801 010012443,0.915759302,0.915507786,0
20140801 010012957,0.915776074,0.91552455,0
20140801 010023457,0.915784461,0.915532932,0
20140801 010023957,0.915776074,0.91552455,0
20140801 010051707,0.915767688,0.915516168,0
20140801 010052957,0.915809621,0.915558078,0
20140801 010053207,0.915818009,0.915566461,0
20140801 010053457,0.915826396,0.915574844,0
20140801 010055957,0.915809621,0.915558078,0
20140801 010138457,0.915784461,0.915532932,0
20140801 010139207,0.915767688,0.915516168,0
20140801 010139457,0.915759302,0.915507786,0
20140801 010141957,0.915750916,0.915499405,0
20140801 010145707,0.91574253,0.915491024,0
20140801 010331207,0.915734144,0.915482642,0
20140801 010356207,0.915725758,0.915474261,0
20140801 010356457,0.915734144,0.915482642,0
20140801 010414223,0.91574253,0.915491024,0
20140801 010414723,0.915734144,0.915482642,0
20140801 010424723,0.91574253,0.915491024,0
20140801 010447973,0.915750916,0.915499405,0
20140801 010453223,0.91574253,0.915491024,0
20140801 010519473,0.915750916,0.915499405,0
20140801 010523473,0.91574253,0.915491024,0
20140801 010550723,0.915734144,0.915482642,0
20140801 010713970,0.91574253,0.915491024,0
20140801 010725220,0.915734144,0.915482642,0
20140801 010732457,0.91574253,0.915491024,0
20140801 010737970,0.915734144,0.915482642,0
20140801 010752470,0.91574253,0.915491024,0
20140801 010758720,0.915734144,0.915482642,0
20140801 010826970,0.915725758,0.915474261,0
20140801 010827720,0.915734144,0.915482642,0
20140801 010828470,0.915725758,0.915474261,0
20140801 010828720,0.915734144,0.915482642,0
20140801 010830470,0.915725758,0.915474261,0
20140801 010830720,0.915734144,0.915482642,0
20140801 010917220,0.915725758,0.915474261,0
20140801 010917470,0.915734144,0.915482642,0
20140801 010917720,0.915725758,0.915474261,0
20140801 010917970,0.915734144,0.915482642,0
20140801 010918220,0.915725758,0.915474261,0
20140801 010918470,0.915734144,0.915482642,0
20140801 010919720,0.91574253,0.915491024,0
20140801 010923720,0.915734144,0.915482642,0
20140801 010923970,0.91574253,0.915491024,0
20140801 010932220,0.915734144,0.915482642,0
20140801 010932470,0.91574253,0.915491024,0
20140801 010933470,0.915734144,0.915482642,0
20140801 010934220,0.91574253,0.915491024,0
20140801 010934470,0.915734144,0.915482642,0
20140801 010934720,0.91574253,0.915491024,0
20140801 010940970,0.915734144,0.915482642,0
20140801 010941720,0.91574253,0.915491024,0
20140801 010941970,0.915734144,0.915482642,0
20140801 010942220,0.91574253,0.915491024,0
20140801 010943220,0.915734144,0.915482642,0
20140801 010943720,0.91574253,0.915491024,0
20140801 010944720,0.915734144,0.915482642,0
20140801 010945470,0.91574253,0.915491024,0
20140801 010955720,0.915734144,0.915482642,0
20140801 010955970,0.91574253,0.915491024,0
20140801 010957970,0.915734144,0.915482642,0
20140801 010958720,0.91574253,0.915491024,0
20140801 011002220,0.915734144,0.915482642,0
20140801 011002970,0.91574253,0.915491024,0
20140801 011003220,0.915734144,0.915482642,0
20140801 011003470,0.91574253,0.915491024,0
20140801 011003970,0.915734144,0.915482642,0
20140801 011006970,0.91574253,0.915491024,0
20140801 011007703,0.915734144,0.915482642,0
20140801 011008970,0.91574253,0.915491024,0
20140801 011009720,0.915734144,0.915482642,0
20140801 011017470,0.91574253,0.915491024,0
20140801 011017720,0.915734144,0.915482642,0
20140801 011018453,0.91574253,0.915491024,0
20140801 011018703,0.915734144,0.915482642,0
20140801 011020453,0.91574253,0.915491024,0
20140801 011020970,0.915734144,0.915482642,0
20140801 011026970,0.91574253,0.915491024,0
20140801 011028703,0.915734144,0.915482642,0
20140801 011028970,0.91574253,0.915491024,0
20140801 011205453,0.915750916,0.915499405,0
20140801 011225977,0.915759302,0.915507786,0
20140801 011226213,0.915767688,0.915516168,0
20140801 011231987,0.91574253,0.915491024,0
20140801 011235477,0.915750916,0.915499405,0
20140801 011238730,0.91574253,0.915491024,0
20140801 011245733,0.915767688,0.915516168,0
20140801 011247483,0.915784461,0.915532932,0
20140801 011247733,0.915826396,0.915574844,0
20140801 011248733,0.915851559,0.915599993,0
20140801 011249483,0.915826396,0.915574844,0
20140801 011310750,0.915843171,0.91559161,0
20140801 011311000,0.915834783,0.915583227,0
